campaign_name,impressions,clicks,spend,sales,purchases,ctr,cvr,acos,roas
Auto Campaign 1 Signal Capture,61148,890,631.71,770.4599999999999,52,0.014554850526591221,0.058426966292134834,0.8199127793785532,1.2196419243007075
Auto Campaign 2 Cheap Discovery,1283,67,58.61,98.44999999999999,6,0.05222135619641465,0.08955223880597014,0.5953275774504826,1.6797474833646133
BROAD MATCH CAMPAIGN,219261,1873,1869.09,1818.52,148,0.008542330829468077,0.07901761879337961,1.0278083276510568,0.9729440529883526
Batana Hair oil Exact Manual,177976,1085,911.91,858.4300000000001,58,0.006096327594731874,0.053456221198156684,1.0622997798306208,0.9413538616749461
Batana Hair oil pharase Manual,54457,721,747.22,798.4399999999999,58,0.013239803881961915,0.08044382801664356,0.9358499073192726,1.0685474157543962
Batana Oil Exact Ranking,26869,117,207.22,193.9,10,0.004354460530723138,0.08547008547008547,1.0686952037132542,0.9357204903001641
Batana Oil Phrase Match,16734,100,92.45,80.46000000000001,5,0.005975857535556352,0.05,1.1490181456624409,0.8703082747431045
PRODUCT TARGETING EXACT CAMPAIGN,136271,1111,674.73,878.36,63,0.008152871850944075,0.05670567056705671,0.7681702263308894,1.3017947919908703
PRODUCT TARGETING EXPANDED CAMPAIGN,504,23,10.83,0.0,0,0.04563492063492063,0.0,0.0,0.0
