search_term,impressions,clicks,spend,sales,purchases,units_sold,ctr,cvr,cpc,acos,roas
lifewitqueenp crack hair growth oil,53,1,0.9,9.99,1,1,0.018867924528301886,1.0,0.9,0.09009009009009009,11.1
lifewitqueenp crack hair growth oil butter,2,1,0.75,0.0,0,0,0.5,0.0,0.75,0.0,0.0
lifewitqueenp hair care growth oil,161,1,1.12,0.0,0,0,0.006211180124223602,0.0,1.12,0.0,0.0
lifewitqueenp hair growth products,118,3,1.57,0.0,0,0,0.025423728813559324,0.0,0.5233333333333333,0.0,0.0
line for natural hair growth,1,1,1.17,0.0,0,0,1.0,0.0,1.17,0.0,0.0
liv hair moisturizer,41,2,1.5,0.0,0,0,0.04878048780487805,0.0,0.75,0.0,0.0
lllt hair growth,2,1,0.65,0.0,0,0,0.5,0.0,0.65,0.0,0.0
loar beauty intensive growth hair oil,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
lola cosmetics hair products,16,1,0.67,0.0,0,0,0.0625,0.0,0.67,0.0,0.0
long hair don't care growth oil,55,1,1.04,0.0,0,0,0.01818181818181818,0.0,1.04,0.0,0.0
long hair growth oil,1,1,0.58,0.0,0,0,1.0,0.0,0.58,0.0,0.0
loreal hair growth,12,1,0.62,0.0,0,0,0.08333333333333333,0.0,0.62,0.0,0.0
loreal hair oil,30,1,0.82,0.0,0,0,0.03333333333333333,0.0,0.82,0.0,0.0
lumiel batana oil,1,1,1.43,0.0,0,0,1.0,0.0,1.43,0.0,0.0
lumin hair growth cream,1,1,0.92,0.0,0,0,1.0,0.0,0.92,0.0,0.0
lumin hair growth gummies,17,2,1.77,0.0,0,0,0.11764705882352941,0.0,0.885,0.0,0.0
lumineux hair growth,1,1,0.84,0.0,0,0,1.0,0.0,0.84,0.0,0.0
luna leaf midnight oil,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
luv jones hair products,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
luxmiel batana oil,6,4,3.6399999999999997,15.5,1,1,0.6666666666666666,0.25,0.9099999999999999,0.23483870967741932,4.258241758241758
luxmiel batana oil for hair growth,14,8,4.16,0.0,0,0,0.5714285714285714,0.0,0.52,0.0,0.0
luxmiel raw batana,3,2,0.94,0.0,0,0,0.6666666666666666,0.0,0.47,0.0,0.0
luxmile raw batana oil,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
madani hair growth oil,21,1,0.52,0.0,0,0,0.047619047619047616,0.0,0.52,0.0,0.0
mahabhringraj oil for hair growth,62,1,0.21,0.0,0,0,0.016129032258064516,0.0,0.21,0.0,0.0
majestic pure batana oil,1,1,1.34,0.0,0,0,1.0,0.0,1.34,0.0,0.0
makof beauty hair growth oil for kids,2,1,1.04,0.0,0,0,0.5,0.0,1.04,0.0,0.0
mama earth hair growth oil,2,1,0.7,16.99,1,1,0.5,1.0,0.7,0.04120070629782225,24.271428571428572
mamela batana oil for hair growth,11,1,1.04,0.0,0,0,0.09090909090909091,0.0,1.04,0.0,0.0
mamela naturals batana oil,18,1,1.4,0.0,0,0,0.05555555555555555,0.0,1.4,0.0,0.0
mamela naturals mary ruth multivitamin hair growth,45,2,1.19,0.0,0,0,0.044444444444444446,0.0,0.595,0.0,0.0
mandana,2,1,0.93,0.0,0,0,0.5,0.0,0.93,0.0,0.0
mane choice hair growth oil,41,1,1.04,0.0,0,0,0.024390243902439025,0.0,1.04,0.0,0.0
marc anthony grow long,76,1,1.12,0.0,0,0,0.013157894736842105,0.0,1.12,0.0,0.0
maree keratin hair treatment,1,1,0.47,0.0,0,0,1.0,0.0,0.47,0.0,0.0
mariguanol,366,1,0.37,0.0,0,0,0.00273224043715847,0.0,0.37,0.0,0.0
mariguanol extra fuerte,32,1,0.4,0.0,0,0,0.03125,0.0,0.4,0.0,0.0
mariguanol extra strength,2,1,0.54,0.0,0,0,0.5,0.0,0.54,0.0,0.0
mariguanol oil,13,1,0.5,0.0,0,0,0.07692307692307693,0.0,0.5,0.0,0.0
mart ruth hair growth,3,1,0.91,0.0,0,0,0.3333333333333333,0.0,0.91,0.0,0.0
mary ruth hair growth,285,2,1.74,0.0,0,0,0.007017543859649123,0.0,0.87,0.0,0.0
mary ruth hair growth max,82,2,1.5,0.0,0,0,0.024390243902439025,0.0,0.75,0.0,0.0
mary ruth multivitamin hair growth,530,2,1.52,0.0,0,0,0.0037735849056603774,0.0,0.76,0.0,0.0
maryruths liquid multivitamin hair growth,15,1,0.92,0.0,0,0,0.06666666666666667,0.0,0.92,0.0,0.0
maui oil,3,1,0.4,0.0,0,0,0.3333333333333333,0.0,0.4,0.0,0.0
me me crack hair oil,2,1,0.91,0.0,0,0,0.5,0.0,0.91,0.0,0.0
mega growth hair products,101,1,0.82,0.0,0,0,0.009900990099009901,0.0,0.82,0.0,0.0
men's natural boar bristle bush for hair growth,6,1,1.12,0.0,0,0,0.16666666666666666,0.0,1.12,0.0,0.0
mens hair growth,272,1,1.03,0.0,0,0,0.003676470588235294,0.0,1.03,0.0,0.0
mens hair growth products,809,6,6.12,11.99,1,1,0.007416563658838072,0.16666666666666666,1.02,0.5104253544620517,1.9591503267973855
mens hair growth vitamin oil,1,1,0.79,0.0,0,0,1.0,0.0,0.79,0.0,0.0
mens hair oil for dry hair,1,1,3.74,15.5,1,1,1.0,1.0,3.74,0.24129032258064517,4.144385026737968
mens hair oil for growth,2,1,1.5,0.0,0,0,0.5,0.0,1.5,0.0,0.0
mgl naturals coconut oil and shea butter hair food,12,1,0.5,0.0,0,0,0.08333333333333333,0.0,0.5,0.0,0.0
microneedling for hair growth scalp,5,1,0.82,0.0,0,0,0.2,0.0,0.82,0.0,0.0
miele hair growth oil,30,2,1.5699999999999998,16.99,2,2,0.06666666666666667,1.0,0.7849999999999999,0.0924072984108299,10.821656050955415
mielle hair balm,2,1,0.92,0.0,0,0,0.5,0.0,0.92,0.0,0.0
mielle hair growth oil,102,2,1.45,0.0,0,0,0.0196078431372549,0.0,0.725,0.0,0.0
mielle hair oil,24,1,0.5,0.0,0,0,0.041666666666666664,0.0,0.5,0.0,0.0
mielle hair products,33,1,0.55,0.0,0,0,0.030303030303030304,0.0,0.55,0.0,0.0
mielle light rosemary oil for hair growth organic,1,1,0.9,0.0,0,0,1.0,0.0,0.9,0.0,0.0
mielle moisturizer,40,1,0.6,0.0,0,0,0.025,0.0,0.6,0.0,0.0
mielle moisturizer for hair growth,1,1,1.2,0.0,0,0,1.0,0.0,1.2,0.0,0.0
mielle organics hair growth oil,310,1,1.07,0.0,0,0,0.0032258064516129032,0.0,1.07,0.0,0.0
mielle organics rosemary oil for hair growth,1248,5,5.12,0.0,0,0,0.004006410256410256,0.0,1.024,0.0,0.0
mielle rosemary oil for hair growth organic,381,2,1.55,0.0,0,0,0.005249343832020997,0.0,0.775,0.0,0.0
mielle sea moss shampoo,1,1,0.8,0.0,0,0,1.0,0.0,0.8,0.0,0.0
mille regular strength hair relaxer,1,1,0.93,0.0,0,0,1.0,0.0,0.93,0.0,0.0
mille rosemary oil for hair growth,1,1,1.04,0.0,0,0,1.0,0.0,1.04,0.0,0.0
millie rosemary oil for hair growth,18,1,1.2,0.0,0,0,0.05555555555555555,0.0,1.2,0.0,0.0
minah crack hair oil,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
mineral. and batana oil for hair,1,1,1.04,0.0,0,0,1.0,0.0,1.04,0.0,0.0
minnah beauty hair growth oil,63,1,1.04,9.99,1,1,0.015873015873015872,1.0,1.04,0.1041041041041041,9.60576923076923
minnah crack hair growth oil,351,1,1.29,0.0,0,0,0.002849002849002849,0.0,1.29,0.0,0.0
minoxidil hair growth,4,1,0.81,0.0,0,0,0.25,0.0,0.81,0.0,0.0
minoxidil hair growth cream,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
minoxidil men and women,1,1,0.7,0.0,0,0,1.0,0.0,0.7,0.0,0.0
miracle drops for edges,1,1,0.53,0.0,0,0,1.0,0.0,0.53,0.0,0.0
miracle mustard seed hair growth moisturizer,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
mixed oils for hair growth,2,1,0.55,0.0,0,0,0.5,0.0,0.55,0.0,0.0
moisturizer for dry hair,7,1,1.12,0.0,0,0,0.14285714285714285,0.0,1.12,0.0,0.0
moisturizer for dry hair black women,6,2,1.21,0.0,0,0,0.3333333333333333,0.0,0.605,0.0,0.0
moisturizer for hair growth,1,1,0.88,0.0,0,0,1.0,0.0,0.88,0.0,0.0
moisturizer for kinky curly hair,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
moisturizer for natural hair black women,14,2,1.52,11.99,1,1,0.14285714285714285,0.5,0.76,0.1267723102585488,7.8881578947368425
moisturizer hair growth,1,1,0.91,0.0,0,0,1.0,0.0,0.91,0.0,0.0
moisturizer hair products,2,1,0.45,0.0,0,0,0.5,0.0,0.45,0.0,0.0
montana oil for hair growth,74,1,1.46,0.0,0,0,0.013513513513513514,0.0,1.46,0.0,0.0
moroccan oil for hair,40,1,2.04,0.0,0,0,0.025,0.0,2.04,0.0,0.0
moska oil for hair growth,93,2,1.69,0.0,0,0,0.021505376344086023,0.0,0.845,0.0,0.0
most effective hair growth products,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
motions hair moisturizer,166,1,0.6,0.0,0,0,0.006024096385542169,0.0,0.6,0.0,0.0
musely hair growth,2,1,0.39,0.0,0,0,0.5,0.0,0.39,0.0,0.0
muss hair moisturizer,1,1,1.12,0.0,0,0,1.0,0.0,1.12,0.0,0.0
mustard oil for hair growth,220,1,1.35,0.0,0,0,0.004545454545454545,0.0,1.35,0.0,0.0
nairobi hair moisturizer,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
natana oil,4,1,0.5,0.0,0,0,0.25,0.0,0.5,0.0,0.0
native american hair oil,3,1,1.25,0.0,0,0,0.3333333333333333,0.0,1.25,0.0,0.0
natural batana oil,65,3,7.8100000000000005,44.97,2,3,0.046153846153846156,0.6666666666666666,2.6033333333333335,0.1736713364465199,5.758002560819461
natural daily hair moisturizer for black women,3,1,0.9,0.0,0,0,0.3333333333333333,0.0,0.9,0.0,0.0
natural growth hair oilwith amla,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
natural hair butter,2,1,1.08,0.0,0,0,0.5,0.0,1.08,0.0,0.0
natural hair growth,197,2,1.98,11.99,1,1,0.01015228426395939,0.5,0.99,0.1651376146788991,6.055555555555555
natural hair growth grease for black women,4,1,1.12,0.0,0,0,0.25,0.0,1.12,0.0,0.0
natural hair growth oil,345,3,3.42,0.0,0,0,0.008695652173913044,0.0,1.14,0.0,0.0
natural hair growth oil for men,1,1,1.12,0.0,0,0,1.0,0.0,1.12,0.0,0.0
natural hair growth products for men,2,1,0.9,0.0,0,0,0.5,0.0,0.9,0.0,0.0
natural hair growth tips how to grow,1,1,0.24,0.0,0,0,1.0,0.0,0.24,0.0,0.0
natural hair moisturizer,272,3,1.29,0.0,0,0,0.011029411764705883,0.0,0.43,0.0,0.0
natural hair moisturizer for black women,131,1,0.8,0.0,0,0,0.007633587786259542,0.0,0.8,0.0,0.0
natural hair moisturizer for black women no flaking,2,1,0.5,0.0,0,0,0.5,0.0,0.5,0.0,0.0
natural hair moisturizer for dry hair,4,1,0.9,0.0,0,0,0.25,0.0,0.9,0.0,0.0
natural hair oils,145,1,2.03,0.0,0,0,0.006896551724137931,0.0,2.03,0.0,0.0
natural hair product for natural hair,1,1,1.56,0.0,0,0,1.0,0.0,1.56,0.0,0.0
natural hair products,4,1,0.55,0.0,0,0,0.25,0.0,0.55,0.0,0.0
natural moisturizer for hair,2,1,0.3,0.0,0,0,0.5,0.0,0.3,0.0,0.0
natural oil african hair moisturizer,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
natural oil for hair growth,1,1,1.04,0.0,0,0,1.0,0.0,1.04,0.0,0.0
natural oils for hair,6,1,0.9,0.0,0,0,0.16666666666666666,0.0,0.9,0.0,0.0
natural oils for hair growth,8,1,1.22,0.0,0,0,0.125,0.0,1.22,0.0,0.0
natural organic hair growth,2,1,1.06,0.0,0,0,0.5,0.0,1.06,0.0,0.0
natural relaxer for black hair,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
nature spell batana oil for hair growth,43,1,1.42,0.0,0,0,0.023255813953488372,0.0,1.42,0.0,0.0
natures collection miracle growth hair and scalp moisturizer,2,1,0.75,0.0,0,0,0.5,0.0,0.75,0.0,0.0
nene crack hair growth oil,56,2,2.39,0.0,0,0,0.03571428571428571,0.0,1.195,0.0,0.0
netergold hair growth oil,3,1,1.45,0.0,0,0,0.3333333333333333,0.0,1.45,0.0,0.0
never before now growth hair oil,469,2,1.43,0.0,0,0,0.0042643923240938165,0.0,0.715,0.0,0.0
never before now hair growth oil,20,1,0.8,0.0,0,0,0.05,0.0,0.8,0.0,0.0
new raw batana oil for hair growth,4,1,0.67,0.0,0,0,0.25,0.0,0.67,0.0,0.0
newborn hair growth oil,9,1,0.45,0.0,0,0,0.1111111111111111,0.0,0.45,0.0,0.0
nexxus hair oil,4,1,0.55,0.0,0,0,0.25,0.0,0.55,0.0,0.0
nifeishi batana oil for hair growth,3,1,1.2,0.0,0,0,0.3333333333333333,0.0,1.2,0.0,0.0
no rinse batana oil,5,1,2.25,0.0,0,0,0.2,0.0,2.25,0.0,0.0
non refined botana,1,1,0.65,19.99,1,1,1.0,1.0,0.65,0.032516258129064536,30.75384615384615
officiallumin hair growth,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
ogx scalp treatment,2,1,0.72,0.0,0,0,0.5,0.0,0.72,0.0,0.0
oil 100% honduran,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
oil divine,1,1,0.29,0.0,0,0,1.0,0.0,0.29,0.0,0.0
oil for 4c hair growth vegan,1,1,1.5,0.0,0,0,1.0,0.0,1.5,0.0,0.0
oil for african american hair,1,1,0.93,0.0,0,0,1.0,0.0,0.93,0.0,0.0
oil for growth,413,1,1.84,0.0,0,0,0.002421307506053269,0.0,1.84,0.0,0.0
oil for hair growth,736,5,6.640000000000001,11.99,1,1,0.006793478260869565,0.2,1.328,0.5537948290241869,1.8057228915662649
oil for hair growth and thickening,19,1,0.75,0.0,0,0,0.05263157894736842,0.0,0.75,0.0,0.0
oil for soothing and growth hair,1,1,1.35,0.0,0,0,1.0,0.0,1.35,0.0,0.0
oil hair,81,1,0.81,0.0,0,0,0.012345679012345678,0.0,0.81,0.0,0.0
oil hair growth,63,1,2.99,16.99,1,1,0.015873015873015872,1.0,2.99,0.17598587404355506,5.6822742474916375
oil moisturizer for hair,12,1,0.8,0.0,0,0,0.08333333333333333,0.0,0.8,0.0,0.0
oils for edge regrowth,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
okay batana hair masque,2,1,0.75,0.0,0,0,0.5,0.0,0.75,0.0,0.0
okutani batana oil for hair growth,142,1,1.2,0.0,0,0,0.007042253521126761,0.0,1.2,0.0,0.0
olbas oil,17,1,0.55,11.99,1,1,0.058823529411764705,1.0,0.55,0.045871559633027525,21.799999999999997
olcg batana oil,429,3,7.05,16.99,1,1,0.006993006993006993,0.3333333333333333,2.35,0.4149499705709241,2.4099290780141844
olive batana oil,2,1,1.48,0.0,0,0,0.5,0.0,1.48,0.0,0.0
olive miracle super hold & smooth edges,6,1,0.45,0.0,0,0,0.16666666666666666,0.0,0.45,0.0,0.0
olive oil daily moisturizer for hair growth,2,1,1.8,9.99,1,1,0.5,1.0,1.8,0.18018018018018017,5.55
olive oil edge up zone relaxer,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
olive oil for hair growth,51,3,1.71,0.0,0,0,0.058823529411764705,0.0,0.57,0.0,0.0
olive oil hair lotion,93,1,0.5,0.0,0,0,0.010752688172043012,0.0,0.5,0.0,0.0
olive oil hair moisturizer,218,1,0.6,0.0,0,0,0.0045871559633027525,0.0,0.6,0.0,0.0
olive oil relaxer normal,2,1,0.63,0.0,0,0,0.5,0.0,0.63,0.0,0.0
olive oil sheen spray for hair,3,1,0.69,0.0,0,0,0.3333333333333333,0.0,0.69,0.0,0.0
onion and coconut oil for hair growth,2,1,0.45,0.0,0,0,0.5,0.0,0.45,0.0,0.0
onion oil for hair growth,990,3,2.92,0.0,0,0,0.0030303030303030303,0.0,0.9733333333333333,0.0,0.0
onion oil for hair growth organic,21,1,0.8,0.0,0,0,0.047619047619047616,0.0,0.8,0.0,0.0
optimum hair moisturizer,27,2,1.6,9.99,1,1,0.07407407407407407,0.5,0.8,0.16016016016016016,6.2437499999999995
optimum oil therapy hair moisturizer,39,1,0.41,0.0,0,0,0.02564102564102564,0.0,0.41,0.0,0.0
organic bandana oil,2,1,0.69,0.0,0,0,0.5,0.0,0.69,0.0,0.0
organic batana oil,1751,7,12.26,16.99,1,1,0.003997715591090805,0.14285714285714285,1.7514285714285713,0.7216009417304298,1.3858075040783033
organic batana oil cold pressed,36,1,0.64,0.0,0,0,0.027777777777777776,0.0,0.64,0.0,0.0
organic batana oil for hair growth,51,1,0.84,0.0,0,0,0.0196078431372549,0.0,0.84,0.0,0.0
organic batana oil honduras,3,1,2.25,0.0,0,0,0.3333333333333333,0.0,2.25,0.0,0.0
organic batona oil for hair growth,18,1,0.73,0.0,0,0,0.05555555555555555,0.0,0.73,0.0,0.0
organic botana oil hair growth,108,2,2.62,0.0,0,0,0.018518518518518517,0.0,1.31,0.0,0.0
organic castor oil,246,1,2.04,0.0,0,0,0.0040650406504065045,0.0,2.04,0.0,0.0
organic edge growth cream – ‘i want my edges back’,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
organic growth hair oil,14,1,0.82,0.0,0,0,0.07142857142857142,0.0,0.82,0.0,0.0
organic hair growth,4,1,1.12,0.0,0,0,0.25,0.0,1.12,0.0,0.0
organic hair growth raw,1,1,0.92,0.0,0,0,1.0,0.0,0.92,0.0,0.0
organic hair lotion,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
organic hair mask for health,1,1,0.9,0.0,0,0,1.0,0.0,0.9,0.0,0.0
organic hair moisturizer,64,1,0.8,0.0,0,0,0.015625,0.0,0.8,0.0,0.0
organic hair oil for hair growth,1,1,3.09,0.0,0,0,1.0,0.0,3.09,0.0,0.0
organic hair products for black hair,2,1,0.9,0.0,0,0,0.5,0.0,0.9,0.0,0.0
organic non toxic edge control,1,1,0.37,0.0,0,0,1.0,0.0,0.37,0.0,0.0
organic onion oil for hair growth,16,1,2.25,0.0,0,0,0.0625,0.0,2.25,0.0,0.0
organic raw batana oil,1,1,3.6,0.0,0,0,1.0,0.0,3.6,0.0,0.0
organic unrefined batana oil,1,1,0.75,0.0,0,0,1.0,0.0,0.75,0.0,0.0
original batana oil,9,1,1.46,0.0,0,0,0.1111111111111111,0.0,1.46,0.0,0.0
original batana oil for hair growth,96,1,1.12,0.0,0,0,0.010416666666666666,0.0,1.12,0.0,0.0
ors hair fertilizer for hair growth,10,4,1.32,0.0,0,0,0.4,0.0,0.33,0.0,0.0
ors olive oil hair grease,1,1,0.4,0.0,0,0,1.0,0.0,0.4,0.0,0.0
ors olive oil hair products,33,1,0.4,0.0,0,0,0.030303030303030304,0.0,0.4,0.0,0.0
otana batana oil for hair growth,1,1,2.27,0.0,0,0,1.0,0.0,2.27,0.0,0.0
palmer hair growth,66,1,0.52,0.0,0,0,0.015151515151515152,0.0,0.52,0.0,0.0
palmers hair growth oil,13,1,0.78,0.0,0,0,0.07692307692307693,0.0,0.78,0.0,0.0
panda's promise batana oil for hair growth,21,1,1.5,0.0,0,0,0.047619047619047616,0.0,1.5,0.0,0.0
pantene hair moisturizer,11,1,0.45,0.0,0,0,0.09090909090909091,0.0,0.45,0.0,0.0
patana oil for hair growth,2,1,1.76,9.99,1,1,0.5,1.0,1.76,0.17617617617617617,5.676136363636363
perm growth hair,1,1,0.75,0.0,0,0,1.0,0.0,0.75,0.0,0.0
pink hair moisturizer lotion,26,1,0.8,0.0,0,0,0.038461538461538464,0.0,0.8,0.0,0.0
pink lotion hair moisturizer,2495,8,4.67,0.0,0,0,0.0032064128256513026,0.0,0.58375,0.0,0.0
placenta hair treatment for growth,123,1,0.82,0.0,0,0,0.008130081300813009,0.0,0.82,0.0,0.0
plantain oil pure organic,1,1,0.9,19.99,1,1,1.0,1.0,0.9,0.04502251125562782,22.21111111111111
pomade for natural hair breakage shedding,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
pomade for women,2,1,0.31,0.0,0,0,0.5,0.0,0.31,0.0,0.0
pp405 hair growth,24,1,0.9,0.0,0,0,0.041666666666666664,0.0,0.9,0.0,0.0
pregnancy safe hair growth oil,65,1,1.35,0.0,0,0,0.015384615384615385,0.0,1.35,0.0,0.0
pressing oil for black hair,13,1,0.55,0.0,0,0,0.07692307692307693,0.0,0.55,0.0,0.0
prime day pure edge control sale,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
protective styles hair moisturizer products for black women,2,1,0.8,0.0,0,0,0.5,0.0,0.8,0.0,0.0
prspr wellness root revive hair growth oil,10,1,0.8,0.0,0,0,0.1,0.0,0.8,0.0,0.0
puffy hold me down baby gelle,6,1,0.5,0.0,0,0,0.16666666666666666,0.0,0.5,0.0,0.0
pumpkin seed oil for hair growth,640,6,4.83,0.0,0,0,0.009375,0.0,0.805,0.0,0.0
pumpkin seed oil hair growth,29,1,0.66,0.0,0,0,0.034482758620689655,0.0,0.66,0.0,0.0
pumpkinseed oil for hair,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
pure aura hair growth balm,1,1,1.08,9.99,1,1,1.0,1.0,1.08,0.10810810810810811,9.25
pure authentic batana oil from honduras,2,1,1.08,0.0,0,0,0.5,0.0,1.08,0.0,0.0
pure batana oil,157,5,7.54,0.0,0,0,0.03184713375796178,0.0,1.508,0.0,0.0
pure batana oil for hair,645,3,8.66,0.0,0,0,0.004651162790697674,0.0,2.8866666666666667,0.0,0.0
pure batana oil for hair growth,87,1,1.23,9.99,1,1,0.011494252873563218,1.0,1.23,0.12312312312312312,8.121951219512196
pure bontana oil dcxc,2,1,0.4,0.0,0,0,0.5,0.0,0.4,0.0,0.0
pure botanica oil from honduras,1,1,1.61,0.0,0,0,1.0,0.0,1.61,0.0,0.0
pure d honduras sweet potato oil,1,1,0.4,0.0,0,0,1.0,0.0,0.4,0.0,0.0
pure edge control,432,4,1.6700000000000002,16.99,1,1,0.009259259259259259,0.25,0.41750000000000004,0.09829311359623309,10.173652694610777
pure glycerin for hair,2,1,0.92,0.0,0,0,0.5,0.0,0.92,0.0,0.0
pure haitian black castor oil,1,1,0.39,0.0,0,0,1.0,0.0,0.39,0.0,0.0
pure loc & twist vegamink scalp treatment,1,1,0.58,0.0,0,0,1.0,0.0,0.58,0.0,0.0
pure majik hair growth oil,21,1,1.21,0.0,0,0,0.047619047619047616,0.0,1.21,0.0,0.0
pure onion juice for hair growth,47,2,1.57,0.0,0,0,0.0425531914893617,0.0,0.785,0.0,0.0
pure raw batana oil from honduras,6,1,2.11,0.0,0,0,0.16666666666666666,0.0,2.11,0.0,0.0
puremajik naturals hair growth oil,78,1,1.5,0.0,0,0,0.01282051282051282,0.0,1.5,0.0,0.0
quorra raw batana oil for hair growth,1,1,0.95,0.0,0,0,1.0,0.0,0.95,0.0,0.0
qytin,1,1,0.75,0.0,0,0,1.0,0.0,0.75,0.0,0.0
qytin batana oil for hair growth,716,4,3.75,0.0,0,0,0.00558659217877095,0.0,0.9375,0.0,0.0
ra cosmetics batana oil for hair growth,37,1,1.5,0.0,0,0,0.02702702702702703,0.0,1.5,0.0,0.0
ralla oil,1,1,0.63,0.0,0,0,1.0,0.0,0.63,0.0,0.0
raw babassu oil,1,1,0.69,0.0,0,0,1.0,0.0,0.69,0.0,0.0
raw banana oil for hair growth,38,2,2.56,0.0,0,0,0.05263157894736842,0.0,1.28,0.0,0.0
raw banana oil paste,2,1,0.9,19.99,1,1,0.5,1.0,0.9,0.04502251125562782,22.21111111111111
raw banta oil no rinse out,1,1,0.65,0.0,0,0,1.0,0.0,0.65,0.0,0.0
raw batana,132,2,2.96,14.99,1,1,0.015151515151515152,0.5,1.48,0.19746497665110072,5.0641891891891895
raw batana from honduras,2,1,1.26,0.0,0,0,0.5,0.0,1.26,0.0,0.0
raw batana hair oil,22,1,2.7,0.0,0,0,0.045454545454545456,0.0,2.7,0.0,0.0
raw batana oil,2688,13,11.99,0.0,0,0,0.004836309523809524,0.0,0.9223076923076923,0.0,0.0
raw batana oil by dr. sebi,7,1,1.4,0.0,0,0,0.14285714285714285,0.0,1.4,0.0,0.0
raw batana oil cold pressed organic,2,1,3.04,0.0,0,0,0.5,0.0,3.04,0.0,0.0
raw batana oil for daily use to leave in,1,1,1.7,0.0,0,0,1.0,0.0,1.7,0.0,0.0
raw batana oil for hair growth,3353,29,28.69,16.99,1,1,0.00864897107068297,0.034482758620689655,0.9893103448275863,1.688640376692172,0.5921924015336353
"raw batana oil for hair growth - 100% pure, organic 4oz batana from honduras for thick and strong natural hair - dr. sebi unrefined cold pressed cosmetic scalp mask gifts for women (1 pack)",7,2,2.65,0.0,0,0,0.2857142857142857,0.0,1.325,0.0,0.0
raw batana oil for hair growth: 100% natural batana oil from honduras prevent hair loss and enhances hair thickness for men & women,0,1,0.55,0.0,0,0,0.0,0.0,0.55,0.0,0.0
raw batana oil luxmiel,9,4,2.7,16.99,1,1,0.4444444444444444,0.25,0.675,0.15891701000588584,6.292592592592592
raw batana oil paste,1085,4,6.199999999999999,31.979999999999997,2,2,0.003686635944700461,0.5,1.5499999999999998,0.1938711694809256,5.158064516129032
raw batana unrefined,238,2,2.29,0.0,0,0,0.008403361344537815,0.0,1.145,0.0,0.0
raw botanical oil paste,1,1,0.66,0.0,0,0,1.0,0.0,0.66,0.0,0.0
raw hair oil,34,1,1.58,0.0,0,0,0.029411764705882353,0.0,1.58,0.0,0.0
raw organic banyan oil from africa,2,1,0.9,0.0,0,0,0.5,0.0,0.9,0.0,0.0
raw organic unrefined batana oil,1,1,0.75,0.0,0,0,1.0,0.0,0.75,0.0,0.0
real batana oil for hair growth,1,1,0.92,0.0,0,0,1.0,0.0,0.92,0.0,0.0
rebond hair treatment,3,1,1.2,0.0,0,0,0.3333333333333333,0.0,1.2,0.0,0.0
red pimento hair growth oil,31,1,0.82,0.0,0,0,0.03225806451612903,0.0,0.82,0.0,0.0
regrow edges for black women,188,11,4.91,19.98,2,2,0.05851063829787234,0.18181818181818182,0.44636363636363635,0.24574574574574576,4.069246435845214
rennora hair growth serum,5,1,0.64,0.0,0,0,0.2,0.0,0.64,0.0,0.0
renora hair growth serum,1,1,0.65,0.0,0,0,1.0,0.0,0.65,0.0,0.0
restorative hair oil for edges black women,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
restore edges black women,11,1,0.4,0.0,0,0,0.09090909090909091,0.0,0.4,0.0,0.0
restore hair mask,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
rhassoul hair growth oil original from africa and made in africa,1,1,0.59,0.0,0,0,1.0,0.0,0.59,0.0,0.0
rice oil for hair growth,62,2,1.17,0.0,0,0,0.03225806451612903,0.0,0.585,0.0,0.0
rice water alocia for hair growth edge control,2,1,0.73,0.0,0,0,0.5,0.0,0.73,0.0,0.0
rich hair moisturizer,1,1,0.48,0.0,0,0,1.0,0.0,0.48,0.0,0.0
richgrand batana oil for hair growth,1575,15,14.86,0.0,0,0,0.009523809523809525,0.0,0.9906666666666666,0.0,0.0
