search_term,impressions,clicks,spend,sales,purchases,units_sold,ctr,cvr,cpc,acos,roas
hair oil for black women,13,1,1.06,0.0,0,0,0.07692307692307693,0.0,1.06,0.0,0.0
hair oil for black women hair growth,2,1,1.35,0.0,0,0,0.5,0.0,1.35,0.0,0.0
hair oil for curly hair,388,4,5.52,16.99,1,1,0.010309278350515464,0.25,1.38,0.32489699823425544,3.0778985507246377
hair oil for curly hair growth,4,1,0.86,0.0,0,0,0.25,0.0,0.86,0.0,0.0
hair oil for damaged hair,225,2,2.12,0.0,0,0,0.008888888888888889,0.0,1.06,0.0,0.0
hair oil for damaged hair leave in,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
hair oil for dry black people hair,1,1,0.55,11.99,1,1,1.0,1.0,0.55,0.045871559633027525,21.799999999999997
hair oil for frizzy hair,270,1,2.04,0.0,0,0,0.003703703703703704,0.0,2.04,0.0,0.0
hair oil for hair growth,181,2,1.53,0.0,0,0,0.011049723756906077,0.0,0.765,0.0,0.0
hair oil for hair growth and thickness,114,1,0.99,0.0,0,0,0.008771929824561403,0.0,0.99,0.0,0.0
hair oil for natural hair,730,1,1.23,0.0,0,0,0.0013698630136986301,0.0,1.23,0.0,0.0
hair oil for oily scalp,140,1,0.62,0.0,0,0,0.007142857142857143,0.0,0.62,0.0,0.0
hair oil growth scalp hair oil,1,1,1.74,0.0,0,0,1.0,0.0,1.74,0.0,0.0
hair oil loss hair mielle,1,1,0.15,0.0,0,0,1.0,0.0,0.15,0.0,0.0
hair oil scalp moisturizer cream natural,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
hair oil wild growth,1,1,1.53,0.0,0,0,1.0,0.0,1.53,0.0,0.0
hair oiling brush scalp direct,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
hair oils for hair growth,23875,115,91.43,39.96,4,4,0.0048167539267015705,0.034782608695652174,0.7950434782608696,2.2880380380380383,0.43705567100514053
hair oils for hair growth 5 star for african american hair,1,1,0.45,11.99,1,1,1.0,1.0,0.45,0.03753127606338615,26.644444444444446
hair oils for hair growth argan oil,1,1,0.8,0.0,0,0,1.0,0.0,0.8,0.0,0.0
hair oils for hair growth black men,2,1,2.7,0.0,0,0,0.5,0.0,2.7,0.0,0.0
hair oils for hair growth black women,35,2,2.98,0.0,0,0,0.05714285714285714,0.0,1.49,0.0,0.0
hair oul growth,30,2,1.04,0.0,0,0,0.06666666666666667,0.0,0.52,0.0,0.0
hair product for kids girls,1,1,0.4,0.0,0,0,1.0,0.0,0.4,0.0,0.0
hair products,7,1,0.86,0.0,0,0,0.14285714285714285,0.0,0.86,0.0,0.0
hair products for bleached hair,1,1,1.14,0.0,0,0,1.0,0.0,1.14,0.0,0.0
hair protein for hair growth,1,1,1.2,0.0,0,0,1.0,0.0,1.2,0.0,0.0
hair refresher spray,1,1,1.1,0.0,0,0,1.0,0.0,1.1,0.0,0.0
hair relaxer with deep conditioning treatment,1,1,0.37,0.0,0,0,1.0,0.0,0.37,0.0,0.0
hair remedies for growth,2,1,0.13,0.0,0,0,0.5,0.0,0.13,0.0,0.0
hair scalp oil,28,1,2.67,0.0,0,0,0.03571428571428571,0.0,2.67,0.0,0.0
hair serum for hair growth,286,2,1.85,9.99,1,1,0.006993006993006993,0.5,0.925,0.1851851851851852,5.3999999999999995
hair strengthening products,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
hair supplements for hair growth,9,1,0.75,0.0,0,0,0.1111111111111111,0.0,0.75,0.0,0.0
hair tonic lola,2,1,0.5,0.0,0,0,0.5,0.0,0.5,0.0,0.0
hair treatment,94,1,3.16,0.0,0,0,0.010638297872340425,0.0,3.16,0.0,0.0
hair treatment for natural hair,2,1,0.8,0.0,0,0,0.5,0.0,0.8,0.0,0.0
hair treatment for natural redheads,1,1,0.66,0.0,0,0,1.0,0.0,0.66,0.0,0.0
hair treatment for split ends,2,1,1.2,0.0,0,0,0.5,0.0,1.2,0.0,0.0
hair treatment for strongest hair and growth,1,1,1.4,0.0,0,0,1.0,0.0,1.4,0.0,0.0
hair treatment oils,641,5,6.49,0.0,0,0,0.0078003120124804995,0.0,1.298,0.0,0.0
hair treatments,4,2,5.1,0.0,0,0,0.5,0.0,2.55,0.0,0.0
hair+growth+products+for+black+women,1,1,2.56,0.0,0,0,1.0,0.0,2.56,0.0,0.0
hairbrush oil,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
haitian black castor oil for hair growth,5,1,0.45,0.0,0,0,0.2,0.0,0.45,0.0,0.0
halogrow hair growth spray,15,2,1.19,0.0,0,0,0.13333333333333333,0.0,0.595,0.0,0.0
head massager for hair growth,2,1,0.92,0.0,0,0,0.5,0.0,0.92,0.0,0.0
head massager scalp hair growth,1,1,2.28,0.0,0,0,1.0,0.0,2.28,0.0,0.0
healing oil taaliyah,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
heat cap for deep conditioning,63,1,1.2,0.0,0,0,0.015873015873015872,0.0,1.2,0.0,0.0
help edges grow black women,11,1,0.45,0.0,0,0,0.09090909090909091,0.0,0.45,0.0,0.0
henna hair growth,30,1,1.01,0.0,0,0,0.03333333333333333,0.0,1.01,0.0,0.0
her for hair growth,1,1,0.2,0.0,0,0,1.0,0.0,0.2,0.0,0.0
herb & aura batana oil for hair growth,8,2,1.94,0.0,0,0,0.25,0.0,0.97,0.0,0.0
herbal for curls,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
herbal growth hair oil,10,1,1.35,0.0,0,0,0.1,0.0,1.35,0.0,0.0
herbal hair growth,1,1,0.24,0.0,0,0,1.0,0.0,0.24,0.0,0.0
herbal hair growth oil,152,1,0.9,0.0,0,0,0.006578947368421052,0.0,0.9,0.0,0.0
herbal hair moisturizer,5,1,0.7,0.0,0,0,0.2,0.0,0.7,0.0,0.0
herbs for hair growth,438,1,0.52,0.0,0,0,0.00228310502283105,0.0,0.52,0.0,0.0
herbs for hair growth oil,2,1,1.21,0.0,0,0,0.5,0.0,1.21,0.0,0.0
hernaturals.co hair growth oil,1,1,1.35,0.0,0,0,1.0,0.0,1.35,0.0,0.0
hers hair growth,1,1,1.35,0.0,0,0,1.0,0.0,1.35,0.0,0.0
heykeratin batana natural organic hair growth oil,8,1,2.7,16.99,1,1,0.125,1.0,2.7,0.15891701000588584,6.292592592592592
hibiscus oil for hair growth organic,28,1,0.28,0.0,0,0,0.03571428571428571,0.0,0.28,0.0,0.0
high frequency wand for hair growth scalp,1,1,1.12,0.0,0,0,1.0,0.0,1.12,0.0,0.0
highest rated batana oil,12,1,2.0,0.0,0,0,0.08333333333333333,0.0,2.0,0.0,0.0
hoegoa batana oil for hair growth,37,1,2.67,16.99,1,1,0.02702702702702703,1.0,2.67,0.15715126545026487,6.3632958801498125
hollywood hair growth,6,1,0.75,0.0,0,0,0.16666666666666666,0.0,0.75,0.0,0.0
homdura hair growth,1,1,1.1,0.0,0,0,1.0,0.0,1.1,0.0,0.0
honduran,2,1,0.66,0.0,0,0,0.5,0.0,0.66,0.0,0.0
honduran azure batana oil for hair growth,2,1,0.72,0.0,0,0,0.5,0.0,0.72,0.0,0.0
honduran batana,5,1,0.8,0.0,0,0,0.2,0.0,0.8,0.0,0.0
honduran botanic batana oil for hair growth,13,1,0.82,0.0,0,0,0.07692307692307693,0.0,0.82,0.0,0.0
honduras banana oil for hair growth,1,1,0.92,0.0,0,0,1.0,0.0,0.92,0.0,0.0
honduras batana oil,17,2,5.12,14.99,1,1,0.11764705882352941,0.5,2.56,0.3415610406937959,2.927734375
horse hair growth products,2,1,0.45,0.0,0,0,0.5,0.0,0.45,0.0,0.0
horsetail oil for hair growth,23,1,0.52,11.99,1,1,0.043478260869565216,1.0,0.52,0.043369474562135114,23.057692307692307
hot batana oil,1,1,0.67,0.0,0,0,1.0,0.0,0.67,0.0,0.0
hot oil treatment,155,3,5.96,0.0,0,0,0.01935483870967742,0.0,1.9866666666666666,0.0,0.0
hot oil treatment for black hair,47,1,2.04,0.0,0,0,0.02127659574468085,0.0,2.04,0.0,0.0
huile nourrissante cheveux,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
human curly hair for boho braids,1,1,0.9,0.0,0,0,1.0,0.0,0.9,0.0,0.0
illumi hair mask,2,1,0.8,0.0,0,0,0.5,0.0,0.8,0.0,0.0
inats bantana natural hair growth oil,17,1,1.35,0.0,0,0,0.058823529411764705,0.0,1.35,0.0,0.0
inats batana oil for hair growth,37,1,1.04,0.0,0,0,0.02702702702702703,0.0,1.04,0.0,0.0
inbelleza vegan curl activator,1,1,0.35,0.0,0,0,1.0,0.0,0.35,0.0,0.0
indian ayurvedic hair growth oil,27,1,0.9,0.0,0,0,0.037037037037037035,0.0,0.9,0.0,0.0
indian hair growth oil,851,8,7.449999999999999,0.0,0,0,0.009400705052878966,0.0,0.9312499999999999,0.0,0.0
indian hair oil,21,1,1.02,0.0,0,0,0.047619047619047616,0.0,1.02,0.0,0.0
"indian hair oil blend batana,fenugreek ,amla",1,1,1.75,0.0,0,0,1.0,0.0,1.75,0.0,0.0
indian hemp hair and scalp treatment,98,3,1.35,0.0,0,0,0.030612244897959183,0.0,0.45,0.0,0.0
indian hemp hair grease,72,1,0.5,0.0,0,0,0.013888888888888888,0.0,0.5,0.0,0.0
indian natural hair growth wash,1,1,0.75,0.0,0,0,1.0,0.0,0.75,0.0,0.0
indigenous hair,3,1,0.23,0.0,0,0,0.3333333333333333,0.0,0.23,0.0,0.0
infant hair growth products,85,1,0.79,0.0,0,0,0.011764705882352941,0.0,0.79,0.0,0.0
ixq batana oil,12,1,2.7,0.0,0,0,0.08333333333333333,0.0,2.7,0.0,0.0
jamaican black castor oil,3,1,0.75,0.0,0,0,0.3333333333333333,0.0,0.75,0.0,0.0
jamaican black castor oil for hair growth,105,1,0.37,0.0,0,0,0.009523809523809525,0.0,0.37,0.0,0.0
jamaican black castor oil grease with rosemary,1,1,0.44,0.0,0,0,1.0,0.0,0.44,0.0,0.0
japanese hair growth,12,2,1.3,0.0,0,0,0.16666666666666666,0.0,0.65,0.0,0.0
jasmine hair oil,1,1,0.52,0.0,0,0,1.0,0.0,0.52,0.0,0.0
joana,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
johohula batana,1,1,1.98,0.0,0,0,1.0,0.0,1.98,0.0,0.0
jojoba oil for hair growth,105,2,2.0,0.0,0,0,0.01904761904761905,0.0,1.0,0.0,0.0
jumbo size 10 in 1 hair growth oil,2,1,0.75,0.0,0,0,0.5,0.0,0.75,0.0,0.0
kalahari hair moisturizer,2,1,0.5,11.99,1,1,0.5,1.0,0.5,0.041701417848206836,23.98
karseell bnc collagen treatment conditioner,1,1,0.5,0.0,0,0,1.0,0.0,0.5,0.0,0.0
karsell hair products,4,1,0.45,0.0,0,0,0.25,0.0,0.45,0.0,0.0
ke oil,1,1,0.41,0.0,0,0,1.0,0.0,0.41,0.0,0.0
kemiri oil for hair growth,10,1,0.52,0.0,0,0,0.1,0.0,0.52,0.0,0.0
keratin hair oil,1,1,1.2,0.0,0,0,1.0,0.0,1.2,0.0,0.0
keratin oil for hair growth,42,1,0.75,0.0,0,0,0.023809523809523808,0.0,0.75,0.0,0.0
keri oil original,1,1,0.66,0.0,0,0,1.0,0.0,0.66,0.0,0.0
kerry berry hair growth oil and thicken paste,8,1,1.5,16.99,1,1,0.125,1.0,1.5,0.08828722778104768,11.326666666666666
kesa hair oil,1,1,0.99,0.0,0,0,1.0,0.0,0.99,0.0,0.0
khalida naturals edge control,13,1,0.55,0.0,0,0,0.07692307692307693,0.0,0.55,0.0,0.0
khalida naturals hair,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
kids hair growth oil,29,1,0.65,0.0,0,0,0.034482758620689655,0.0,0.65,0.0,0.0
kinks an co,1,1,0.57,0.0,0,0,1.0,0.0,0.57,0.0,0.0
kiss color&care multivitamin oil for hair,1,1,0.66,0.0,0,0,1.0,0.0,0.66,0.0,0.0
kiss edges unscented,1,1,0.66,0.0,0,0,1.0,0.0,0.66,0.0,0.0
koneo hair growth paste,41,1,0.8,0.0,0,0,0.024390243902439025,0.0,0.8,0.0,0.0
korean hair growth,19,1,0.63,0.0,0,0,0.05263157894736842,0.0,0.63,0.0,0.0
korean hair growth oil,83,1,0.75,0.0,0,0,0.012048192771084338,0.0,0.75,0.0,0.0
ktintar batana oil for hair growth,30,1,1.12,0.0,0,0,0.03333333333333333,0.0,1.12,0.0,0.0
ktintar rosemary oil for hair growth,167,1,1.12,0.0,0,0,0.005988023952095809,0.0,1.12,0.0,0.0
kuri nuka batana oil,86,2,2.0,0.0,0,0,0.023255813953488372,0.0,1.0,0.0,0.0
kuri nuka batana oil for hair growth,131,4,3.24,0.0,0,0,0.030534351145038167,0.0,0.81,0.0,0.0
kuri oil,1,1,0.45,0.0,0,0,1.0,0.0,0.45,0.0,0.0
labanta,271,2,0.88,0.0,0,0,0.007380073800738007,0.0,0.44,0.0,0.0
labanta batana oil,146,2,5.14,0.0,0,0,0.0136986301369863,0.0,2.57,0.0,0.0
labanta batana oil for hair growth,877,6,9.69,0.0,0,0,0.0068415051311288486,0.0,1.615,0.0,0.0
labanta batana oil paste,80,2,2.82,0.0,0,0,0.025,0.0,1.41,0.0,0.0
labanta hair growth,85,3,2.56,0.0,0,0,0.03529411764705882,0.0,0.8533333333333334,0.0,0.0
labanta hair product,1,1,0.6,0.0,0,0,1.0,0.0,0.6,0.0,0.0
labs hair mask,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
lanza for silk press,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
lavanta braid hair oil,1,1,0.86,0.0,0,0,1.0,0.0,0.86,0.0,0.0
leave in batana grease,1,1,0.55,0.0,0,0,1.0,0.0,0.55,0.0,0.0
leave in batana oil,33,2,4.27,0.0,0,0,0.06060606060606061,0.0,2.135,0.0,0.0
leave in batana oil for hair growth,99,4,6.63,9.99,1,1,0.04040404040404041,0.25,1.6575,0.6636636636636637,1.506787330316742
leave in botana oil hair growth,9,2,4.46,15.5,1,1,0.2222222222222222,0.5,2.23,0.28774193548387095,3.475336322869955
leave in conditioner for hair growth,4,3,2.39,0.0,0,0,0.75,0.0,0.7966666666666667,0.0,0.0
leave on hair gel for growth,2,1,0.55,0.0,0,0,0.5,0.0,0.55,0.0,0.0
lebanta batana oil,2667,8,10.23,16.99,1,1,0.0029996250468691415,0.125,1.27875,0.6021188934667452,1.6608015640273703
lebanta batana oil for hair growth,30,1,0.57,0.0,0,0,0.03333333333333333,0.0,0.57,0.0,0.0
lebanta hair growth,4303,13,10.98,26.98,2,2,0.0030211480362537764,0.15384615384615385,0.8446153846153847,0.40696812453669384,2.4571948998178508
lebanta hair growth oil,2965,18,17.21,0.0,0,0,0.0060708263069139965,0.0,0.9561111111111111,0.0,0.0
lebanta hair growth oil spray,82,1,0.68,0.0,0,0,0.012195121951219513,0.0,0.68,0.0,0.0
lebanta raw batana oil,131,4,7.9,0.0,0,0,0.030534351145038167,0.0,1.975,0.0,0.0
lebanta raw batana oil for hair,2,1,1.08,0.0,0,0,0.5,0.0,1.08,0.0,0.0
lebanta raw batana oil for hair growth,205,1,1.04,9.99,1,1,0.004878048780487805,1.0,1.04,0.1041041041041041,9.60576923076923
"lebanta raw batana oil pure, natural formula boosts hair health. moisturizes and nourishes scalp effectively. promotes stronger, thicker hair growth.",1,1,0.4,0.0,0,0,1.0,0.0,0.4,0.0,0.0
lebatana batana oil,71,1,0.52,0.0,0,0,0.014084507042253521,0.0,0.52,0.0,0.0
led scalp massager hair growth,2,1,0.92,0.0,0,0,0.5,0.0,0.92,0.0,0.0
levanta batana oil,139,1,0.82,0.0,0,0,0.007194244604316547,0.0,0.82,0.0,0.0
lia hair growth oil,2,1,0.59,11.99,1,1,0.5,1.0,0.59,0.04920767306088407,20.322033898305087
lia organic hair growth oil,59,2,3.77,0.0,0,0,0.03389830508474576,0.0,1.885,0.0,0.0
libby hair care hair growth oil kids,5,1,0.56,0.0,0,0,0.2,0.0,0.56,0.0,0.0
life queen crack hair growth oil,1,1,1.05,0.0,0,0,1.0,0.0,1.05,0.0,0.0
life wit queen p hair growth oil,6,1,0.82,0.0,0,0,0.16666666666666666,0.0,0.82,0.0,0.0
life with queen p hair growth oil crack,4,1,0.52,0.0,0,0,0.25,0.0,0.52,0.0,0.0
lifewit queenp hair growth oil,3,1,1.35,0.0,0,0,0.3333333333333333,0.0,1.35,0.0,0.0
lifewithqueenp hair growth oil crack oil,120,2,1.94,0.0,0,0,0.016666666666666666,0.0,0.97,0.0,0.0
